"pressureaveregaed2-rfile"
"Time Step" "pressureaveregaed2"
("Time Step" "pressureaveregaed2")
0 130125.5448110006
1 139070.9887824842
2 170981.859892126
3 142107.32100726
4 128175.9390703812
5 158356.6939958638
6 156003.4891681723
7 133656.7544461796
8 147995.2790274073
9 161225.2081945558
10 144635.8907148286
11 143439.5416732084
12 159776.7679539254
13 154757.5953693221
14 145298.758198095
15 156088.4505941871
16 160876.6997183404
17 151300.3135126063
18 153807.12304641
19 162902.8248631099
20 158384.0570142797
21 154732.7327097586
22 162546.03428321
23 164102.4610972823
24 158586.396626997
25 162043.0753981688
26 167479.2817102339
27 163974.4267794537
28 163027.2618028905
29 168914.6398745462
30 169243.9364608512
31 166072.7144364803
32 169667.6942070325
33 173265.266726149
34 170656.8955167813
35 171050.9554225602
36 175793.0757245537
37 175693.4247030296
38 173862.7173151095
39 177466.03517043
40 180137.1355302006
41 178108.1782482667
42 179252.9020113851
43 183465.2631382917
44 183133.9264628448
45 182023.0617400772
46 185762.6605864516
47 187983.4278113635
48 186183.7551740812
49 187849.3582156622
50 191909.5264878039
51 191385.8276808056
52 190670.7202978273
53 194730.9908926446
54 196768.5545442898
55 194892.8233164982
56 196996.5638429798
57 201301.6346433886
58 200457.0444372153
59 199813.1074365389
60 204525.1128254983
61 206540.2662807924
62 204181.898254962
63 206800.7262154203
64 211815.3310088012
65 210385.946816427
66 209428.1510882633
67 215347.516032976
68 217559.2700782115
69 213958.3790296256
70 217235.5160957067
71 223869.7393484105
72 221231.6127509737
73 219138.5236121314
74 227448.5501083261
75 230333.1938876236
76 223735.9518408164
77 227952.4815055098
78 238335.4473730382
79 233111.1490333253
80 227843.9980806058
81 241378.7608623421
82 246337.8705697891
83 232452.4942892834
84 237875.0766213235
85 257669.9528832161
86 246920.0771765924
87 232377.1704173866
88 257985.5698620345
89 270184.1311843768
90 237289.6242065018
91 242378.2044873731
92 288490.9117566877
93 266422.6128343657
94 221704.1838099907
95 277115.05655856
96 318259.0486052357
97 230631.0117023941
98 221657.698784304
99 352218.3476326972
100 311856.0174678236
101 155126.7952420378
102 289443.1369542648
103 462268.6940423366
104 195686.6334764655
105 82847.35303370669
106 526092.5375080922
107 506564.5578885966
108 -124096.3727240223
109 199645.4766208136
110 996308.866124829
111 158581.8710425278
112 -495177.6946383739
113 1018959.527343423
114 1383541.894274069
115 -992068.1196794551
116 41986.50876447848
