"wallpressureabsolute2-rfile"
"Time Step" "wallpressureabsolute2"
("Time Step" "wallpressureabsolute2")
0 117461.9067053975
1 120305.1057968284
2 124508.5444893098
3 109890.5749939106
4 107719.4483075668
5 117610.3131234517
6 112721.3160286103
7 105863.9548560098
8 112277.1103266663
9 113986.7726121657
10 107132.3848436454
11 108317.0877568108
12 112766.4788417657
13 108912.4414569576
14 106372.1836788444
15 110175.5935946172
16 109759.2795837019
17 106022.8913931248
18 107448.6319318924
19 109226.1168650773
20 106375.3852336578
21 105470.4252845297
22 107608.94186882
23 106566.6011168116
24 104381.5405814712
25 105531.2272624604
26 106056.1223232726
27 103920.8162141278
28 103617.1686594074
29 104790.3605435464
30 103598.7215277762
31 102216.8923019352
32 103048.6313008285
33 102983.8544076807
34 101315.2050680912
35 101235.8380215202
36 101853.1699737775
37 100657.18340242
38 99673.44530098733
39 100283.2684117439
40 99905.82479276723
41 98493.00791571611
42 98495.54998516415
43 98804.09019019538
44 97578.74828060427
45 96788.6899882952
46 97257.4836796626
47 96675.27816406765
48 95361.03176317157
49 95418.93433506005
50 95527.7781325503
51 94235.26333329658
52 93549.9081713411
53 93962.88417738758
54 93227.78303715815
55 91904.22046263608
56 92022.19888163215
57 92027.51816491643
58 90583.34406818585
59 89943.47983057077
60 90405.00915786257
61 89487.50541506377
62 88057.47109123951
63 88304.87357966768
64 88283.13405991152
65 86577.78905114105
66 85948.74021078077
67 86611.78531623194
68 85467.1408664379
69 83759.65540629679
70 84276.64780605775
71 84359.20627616553
72 82145.35489648252
73 81478.4732772737
74 82663.0739346523
75 81173.69821767436
76 78818.56738089067
77 79928.87638975169
78 80397.23664586298
79 77091.03525508883
80 76283.53337519575
81 78765.85585212967
82 76672.80855698675
83 72797.35961036371
84 75252.45607662281
85 76893.76417928646
86 71137.56586861887
87 69806.18758304701
88 75582.78920476284
89 72419.32372587937
90 64590.1120276615
91 70103.84463068891
92 75423.86046302326
93 63560.51336286753
94 59838.56462381608
95 74855.82556437809
96 70043.79498204088
97 50306.08098842561
98 62956.02231710064
99 81742.74157890002
100 52738.05477953149
101 37300.83310771059
102 83135.76332665344
103 77179.55909927556
104 16698.60163655035
105 41310.18294444984
106 121858.2130624061
107 29740.52287550821
108 -43875.40471091127
109 112439.0219280818
110 42243.82365387623
111 -81787.09720287959
112 -127895.1136694013
113 320317.5028362324
114 -254983.915342175
115 -371025.5105095524
116 153908.2265896439
