"averaged_pressure-rfile"
"Time Step" "averaged_pressure"
("Time Step" "averaged_pressure")
0 50490.00645981896
1 51015.93816185985
2 50518.88698224034
3 50673.28901851555
4 50585.29937873532
5 50579.87826477083
6 50583.51626977143
7 50583.48708151615
8 50585.47625873591
9 50586.63138520192
10 50588.92019370889
11 50590.33100874428
12 50592.86151493819
13 50594.50833527905
14 50597.2914494763
15 50599.27315885784
16 50602.42238464642
17 50604.65616429727
18 50608.08322726483
19 50610.56673521565
20 50614.17395497313
21 50616.96413170043
22 50620.9307089498
23 50624.13175250945
24 50628.49970426804
25 50576.88370376572
26 50631.40946344862
27 50691.59470444398
28 50645.92217988153
29 50650.49616853119
30 50657.37962766991
31 50662.48018960628
32 50668.71289898562
33 50618.40916298698
34 50732.08022099717
35 50689.49115314432
36 50695.90569257693
37 50705.0895655065
38 50656.53561710748
39 50772.94660682437
40 50731.66175815894
41 50740.01079343144
42 50752.70288687965
43 50762.43666283937
44 50774.86517981728
45 50786.51859494256
46 50799.40242044183
47 50812.89375216557
48 50828.02329496224
49 50842.39258385062
50 50859.20180571655
51 50874.83169318279
52 50893.66865714679
53 50912.40049016687
54 50932.654961546
55 50953.35856709239
56 50974.94168239467
57 50996.52069490073
58 51021.28213764256
59 51046.33548172691
60 51072.52447157133
61 51099.82510078767
62 51129.72995689244
63 51158.95997847585
64 51191.66396553572
65 51224.7855434701
66 51259.86782557339
67 51294.04500388463
68 51332.89662652513
69 51372.84161626943
70 51415.31648437292
71 51458.84188037995
72 51504.0579808246
73 51549.92524722293
74 51601.0849848553
75 51653.22948093098
76 51708.50904801351
77 51765.66826287261
78 51825.52562988686
79 51886.35177112358
80 51953.3799318442
81 52022.40575819716
82 52094.88160636953
83 52168.83890350274
84 52247.51015600086
85 52326.84083454744
86 52415.65600953769
87 52504.08281879122
88 52600.9550009751
89 52699.40736816417
90 52802.18463528005
91 52912.04512419979
92 53027.23088691421
93 53148.3149442026
94 53276.97815745875
95 53409.26698436955
96 53550.94963373183
97 53696.71654224438
98 53856.65579283723
99 54019.39106102714
100 54190.40917390618
101 54368.11369056321
102 54556.910128636
103 54752.98219910453
104 54963.87495735221
105 55190.30096691652
106 55424.66098765791
107 55676.27806523625
108 55940.84635078564
109 56213.68064170373
110 56514.84761153042
111 56823.20063559634
112 57154.86097049805
113 57507.47899454334
114 57876.5107016863
115 58266.1400382272
116 58696.59034541908
117 58955.37774899343
118 59527.49703771912
119 60025.20921941489
120 60541.98839561873
121 61102.33229055001
122 61723.44351164567
123 62366.9958248527
124 63068.64832965357
125 64015.46167928816
126 64712.71213450857
127 65544.29497465436
128 66476.87651047112
129 67499.09694486482
130 68552.03057057269
